ID,Name
15516,GS1DatabarMaxDecodeTime
15517,GS1DatabarAvgDecodeTime
15518,
15519,CompositeDecodeCount
15520,
15521,
15522,CompositeMinDecodeTime
15523,CompositeMaxDecodeTime
15524,CompositeAvgDecodeTime
15525,
15526,OCRDecodeCount
15527,
15528,
15529,OCRMinDecodeTime
15530,OCRMaxDecodeTime
15531,OCRAvgDecodeTime
15532,
15533,AztecDecodeCount
15534,
15535,
15536,AztecMinDecodeTime
15537,AztecMaxDecodeTime
15538,AztecAvgDecodeTime
15539,
15540,Other1DDecodeCount
15541,
15542,
15543,Other1DMinDecodeTime
15544,Other1DMaxDecodeTime
15545,Other1DAvgDecodeTime
15546,
15547,Other2DDecodeCount
15548,
15549,
15550,Other2DMinDecodeTime
15551,Other2DMaxDecodeTime
15552,Other2DAvgDecodeTime
15553,
15554,OtherDecodeCount
15555,
15556,
15557,OtherMinDecodeTime
15558,OtherMaxDecodeTime
15559,OtherAvgDecodeTime
15560,
15565,AutoScanEnableDisableCount
15566,AutoScanEnableDisableThreshold
15659,MaxicodeDecodeCount
15660,
15661,
15662,MaxicodeMinDecodeTime
15663,MaxicodeMaxDecodeTime
15664,MaxicodeAvgDecodeTime
15665,
15666,CouponDecodeCount
15667,
15668,
15669,CouponMinDecodeTime
15670,CouponMaxDecodeTime
15671,CouponAvgDecodeTime
15672,
15673,GS1DatamatrixDecodeCount
15674,
15675,
15676,GS1DatamatrixMinDecodeCount
15677,GS1DatamatrixMaxDecodeCount
15678,GS1DatamatrixAvgDecodeTime
15679,
15680,GS1QRCodeDecodeCount
15681,
15682,
15683,GS1QRCodeMinDecodeTime
15684,GS1QRCodeMaxDecodeTime
15685,GS1QRCodeAvgDecodeTime
15686,
15700,
15701,
15702,
15703,
15704,
15705,
15706,
15707,UPCSlowestDecodeData
15708,
15709,EANJANSlowestDecodeData
15710,
15711,Code39SlowestDecodeData
15712,
15713,Code128SlowestDecodeData
15714,
15715,
15716,
15717,CodabarSlowestDecodeData
15718,
15719,Code93SlowestDecodeData
15720,
15721,MSISlowestDecodeData
15722,
15723,Code11SlowestDecodeData
15724,
15725,PDFSlowestDecodeData
15726,
15727,DatamatrixSlowestDecodeData
15728,
15729,QRSlowestDecodeData
15730,
15731,PostalCodeSlowestDecodeData
15732,
15733,GS1DatabarSlowestDecodeData
15734,
15735,CompositeSlowestDecodeData
15736,
15737,OCRSlowestDecodeData
15738,
15739,AztecSlowestDecodeData
15740,
15741,Other1DSlowestDecodeData
15742,
15743,Other2DSlowestDecodeData
15744,
15745,OtherSlowestDecodeData
15746,
15747,GS1DatamatrixSlowestDecodeData
15748,
15749,GS1QRCodeSlowestDecodeData
15755,MaxicodeSlowestDecodeData
15757,CouponSlowestDecodeData
15765,
15766,
15767,
15768,
15769,
15770,
15771,
15752,
15753,
15758,
15759,
15760,
15761,
15762,
15763,
15764,
15750,
15751,
15754,
15755,
15756,
15757,
15817,
15818,
15819,
15820,
15821,
15822,
15823,
15824,
15825,
15826,
15827,
15839,HandHeldDecodeCount
15840,
15841,HandsFreeDecodeCount
15842,
15845,
15846,
15861,
15862,
15863,
15864,
20004,ScannerFirmwareVersion
20005,
20006,HardwareVersion
20007,DeviceClass
20008,ScankitVersion
20009,CombinedFirmwareVersion
20010,
20011,RSMVersion
